Order,Date,Tagging.order,Site.num,Site,Site.Lat,Site.Long,Species,FL,TL,lat.deg,lon.deg,lat.dec,lon.dec,Lat,Lon
1,10/28/2019,1,Site.1,PipeJosh,29 56.528,86 08.769,RS,384,417,29,86,0.942133333,0.14615,29.94213333,-86.14615
2,10/28/2019,2,Site.1,PipeJosh,29 56.528,86 08.769,RS,364,391,29,86,0.942133333,0.14615,29.94213333,-86.14615
3,10/28/2019,3,Site.1,PipeJosh,29 56.528,86 08.769,RS,425,460,29,86,0.942133333,0.14615,29.94213333,-86.14615
4,10/28/2019,4,Site.1,PipeJosh,29 56.528,86 08.769,RS,350,378,29,86,0.942133333,0.14615,29.94213333,-86.14615
5,10/28/2019,5,Site.1,PipeJosh,29 56.528,86 08.769,RS,335,367,29,86,0.942133333,0.14615,29.94213333,-86.14615
6,10/28/2019,6,Site.1,PipeJosh,29 56.528,86 08.769,RS,552,598,29,86,0.942133333,0.14615,29.94213333,-86.14615
7,10/28/2019,7,Site.1,PipeJosh,29 56.528,86 08.769,RS,359,391,29,86,0.942133333,0.14615,29.94213333,-86.14615
8,10/28/2019,8,Site.1,PipeJosh,29 56.528,86 08.769,RS,320,351,29,86,0.942133333,0.14615,29.94213333,-86.14615
9,10/28/2019,9,Site.1,PipeJosh,29 56.528,86 08.769,RS,620,675,29,86,0.942133333,0.14615,29.94213333,-86.14615
10,10/28/2019,10,Site.1,PipeJosh,29 56.528,86 08.769,RS,358,388,29,86,0.942133333,0.14615,29.94213333,-86.14615
11,10/28/2019,11,Site.2,PipeJohn,29 56.605,86 08.728,RS,445,482,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
12,10/28/2019,12,Site.2,PipeJohn,29 56.605,86 08.728,RS,415,451,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
13,10/28/2019,13,Site.2,PipeJohn,29 56.605,86 08.728,RS,528,571,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
14,10/28/2019,14,Site.2,PipeJohn,29 56.605,86 08.728,RS,470,512,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
15,10/28/2019,15,Site.2,PipeJohn,29 56.605,86 08.728,RS,453,492,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
16,10/28/2019,16,Site.2,PipeJohn,29 56.605,86 08.728,RS,392,428,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
17,10/28/2019,17,Site.2,PipeJohn,29 56.605,86 08.728,RS,360,395,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
18,10/28/2019,28,Site.2,PipeJohn,29 56.605,86 08.728,RS,470,506,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
19,10/28/2019,29,Site.2,PipeJohn,29 56.605,86 08.728,RS,412,444,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
20,10/28/2019,30,Site.2,PipeJohn,29 56.605,86 08.728,RS,554,602,29,86,0.943416667,0.145466667,29.94341667,-86.14546667
21,10/28/2019,18,Site.3,Coop25Jo,29 56.241,86 09.403,RS,395,430,29,86,0.93735,0.156716667,29.93735,-86.15671667
22,10/28/2019,19,Site.3,Coop25Jo,29 56.241,86 09.403,RS,580,626,29,86,0.93735,0.156716667,29.93735,-86.15671667
23,10/28/2019,20,Site.3,Coop25Jo,29 56.241,86 09.403,RS,405,436,29,86,0.93735,0.156716667,29.93735,-86.15671667
24,10/28/2019,21,Site.3,Coop25Jo,29 56.241,86 09.403,RS,481,524,29,86,0.93735,0.156716667,29.93735,-86.15671667
25,10/28/2019,22,Site.3,Coop25Jo,29 56.241,86 09.403,RS,600,650,29,86,0.93735,0.156716667,29.93735,-86.15671667
26,10/28/2019,23,Site.3,Coop25Jo,29 56.241,86 09.403,RS,394,424,29,86,0.93735,0.156716667,29.93735,-86.15671667
27,10/28/2019,24,Site.3,Coop25Jo,29 56.241,86 09.403,RS,476,519,29,86,0.93735,0.156716667,29.93735,-86.15671667
28,10/28/2019,25,Site.3,Coop25Jo,29 56.241,86 09.403,RS,429,452,29,86,0.93735,0.156716667,29.93735,-86.15671667
29,10/28/2019,26,Site.3,Coop25Jo,29 56.241,86 09.403,RS,375,405,29,86,0.93735,0.156716667,29.93735,-86.15671667
30,10/28/2019,27,Site.3,Coop25Jo,29 56.241,86 09.403,RS,575,622,29,86,0.93735,0.156716667,29.93735,-86.15671667
31,10/29/2019,31,Site.4,Coop35RE,29 56.617,86 08.896,RS,446,487,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
32,10/29/2019,32,Site.4,Coop35RE,29 56.617,86 08.896,RS,473,520,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
33,10/29/2019,33,Site.4,Coop35RE,29 56.617,86 08.896,RS,591,630,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
34,10/29/2019,34,Site.4,Coop35RE,29 56.617,86 08.896,RS,475,515,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
35,10/29/2019,35,Site.4,Coop35RE,29 56.617,86 08.896,RS,336,357,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
36,10/29/2019,36,Site.4,Coop35RE,29 56.617,86 08.896,RS,520,571,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
37,10/29/2019,37,Site.4,Coop35RE,29 56.617,86 08.896,RS,580,634,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
38,10/29/2019,38,Site.4,Coop35RE,29 56.617,86 08.896,RS,371,394,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
39,10/29/2019,39,Site.4,Coop35RE,29 56.617,86 08.896,RS,342,372,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
40,10/29/2019,40,Site.4,Coop35RE,29 56.617,86 08.896,RS,605,656,29,86,0.943616667,0.148266667,29.94361667,-86.14826667
41,10/29/2019,41,Site.5,Coop27Fi,29 56.333,86 08.563,RS,440,480,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
42,10/29/2019,42,Site.5,Coop27Fi,29 56.333,86 08.563,RS,390,428,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
43,10/29/2019,43,Site.5,Coop27Fi,29 56.333,86 08.563,RS,325,351,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
44,10/29/2019,44,Site.5,Coop27Fi,29 56.333,86 08.563,RS,411,449,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
45,10/29/2019,45,Site.5,Coop27Fi,29 56.333,86 08.563,RS,595,648,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
46,10/29/2019,46,Site.5,Coop27Fi,29 56.333,86 08.563,RS,432,470,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
47,10/29/2019,47,Site.5,Coop27Fi,29 56.333,86 08.563,RS,620,671,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
48,10/29/2019,48,Site.5,Coop27Fi,29 56.333,86 08.563,RS,392,427,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
49,10/29/2019,49,Site.5,Coop27Fi,29 56.333,86 08.563,RS,394,430,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
50,10/29/2019,50,Site.5,Coop27Fi,29 56.333,86 08.563,RS,390,425,29,86,0.938883333,0.142716667,29.93888333,-86.14271667
